Codigo;Nombre;Lista 1;Lista 2;Lista 3;Lista 4;Costo;Proveedor;Rubro;Subrubro;Cod. Barra
77995126;ABUELA MECHA BOMBONES DE FRUTA ;6200;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798069899477
5;ACEITE COCINERO 900ML;2190;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790070012050
6;ACONDICIONADOR TRESEMME;3000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791293049830
7;AGOGO CHICLE;3000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7861008501028
8;AGUA SAB MANZANA;150;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798065730378
9;AGUA SAB NARANJA;150;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798065730330
10;AGUA SAB POMELO;150;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798065730354
11;ALA DETERGENTE ULTRA;230;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791290792685
12;ALA ECO LAVADO 800G;1900;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791290791749
13;ALA ECO LAVADO 800ML;2760;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791290792012
14;ALA JABON MATIC CON BICARBONATO;1000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791290791763
15;ALA LAVADO A MANO 800G;1500;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791290794634
16;ALA MATIC 800G;1900;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791290791770
17;ALA PARA DILUIR 900ML;2700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791290793248
714604720;ALBUM MUNDIAL;3500;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7146047203
19;ALFAJOR AGUILA BLANCO;931;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040133570
20;ALFAJOR AGUILA MINI TORTA;931;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040133600
21;ALFAJOR AGUILA MINI TORTA BRONIE;931;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040133594
